customer_id,first_name,last_name,email,registration_date,phone,last_login,is_active
1,Danielle,Johnson,john21@example.net,2025-02-28,296-500-1338,2025-07-08 01:02:17,False
2,Jeffrey,Lawrence,blakeerik@example.com,2023-06-02,223-951-1615x594,2025-07-07 14:53:10,True
3,Teresa,Gray,maria95@example.net,2022-02-27,001-410-734-1316x475,2025-06-28 20:03:20,True
4,Elizabeth,Miles,lynchgeorge@example.net,2022-08-09,(276)748-3503,2025-07-01 01:31:34,True
5,Carl,Gentry,jason76@example.net,2024-06-04,(842)738-8496,2025-06-22 05:39:44,True
6,William,Davis,callahaneric@example.org,2024-02-11,+1-616-769-7848x018,2025-06-17 00:06:10,True
7,Ryan,Chavez,teresa28@example.org,2023-01-23,+1-289-332-5288x0957,2025-06-29 05:02:18,True
8,John,Allen,millertodd@example.org,2025-01-20,001-822-778-2489x63834,2025-07-02 20:33:31,False
9,Shannon,Wright,morganbrianna@example.org,2022-05-25,5106310518,2025-07-05 03:41:02,True
10,Amber,Cummings,esanchez@example.com,2022-02-21,216-856-6701,2025-06-28 01:27:05,True
11,John,Lee,ltaylor@example.com,2024-06-16,517.481.0801,2025-07-01 07:38:31,False
12,Timothy,Hancock,martinaaron@example.com,2022-10-11,246.787.2343x098,2025-06-14 08:44:15,True
13,Breanna,Shaw,brianromero@example.org,2021-02-07,+1-813-761-9399x091,2025-06-24 05:56:57,True
14,Elizabeth,Edwards,randy47@example.com,2021-02-20,6794911838,2025-06-28 12:45:36,True
15,Natasha,Wood,samueldaniels@example.com,2025-01-08,4846124118,2025-06-25 06:24:18,False
16,Jason,Cooper,william40@example.org,2024-02-16,300-352-4278x680,2025-06-18 19:47:45,False
17,Barry,Wood,russellwilliams@example.com,2020-11-10,(833)215-8692x322,2025-06-20 07:06:20,False
18,Sandra,Patton,vpham@example.org,2022-10-16,(616)507-3375,2025-06-22 09:51:36,True
19,Donna,Ross,michelle45@example.net,2024-11-08,(785)701-4294x0196,2025-07-02 18:34:15,False
20,Tracey,Wilson,jonathanfletcher@example.org,2024-12-11,+1-635-661-5951,2025-07-01 09:56:51,True
21,Richard,Phillips,jamesortega@example.com,2022-01-01,+1-794-968-0443x699,2025-07-03 00:51:11,False
22,Emma,Dixon,donnacampbell@example.net,2023-05-17,934-333-2003,2025-07-03 16:44:00,False
23,Olivia,Johnston,psnyder@example.org,2020-07-27,001-716-932-8708x31727,2025-07-11 07:55:37,False
24,Patricia,Simmons,vmerritt@example.com,2024-05-08,734-787-3471x434,2025-07-07 19:27:29,True
25,Devon,Hall,jasminebrown@example.com,2023-05-04,+1-876-903-6690,2025-06-11 21:00:16,True
26,Kenneth,Price,vmedina@example.net,2022-05-26,234.867.0656x2729,2025-07-10 07:44:25,False
27,Elizabeth,Miller,dtaylor@example.org,2020-12-13,965-237-5564x641,2025-07-07 18:36:14,True
28,Zoe,Bell,harringtondenise@example.org,2022-08-17,509.923.2719,2025-06-24 00:40:50,False
29,Miguel,Obrien,stricklandfrank@example.com,2021-06-10,001-504-396-6319,2025-06-26 05:30:16,False
30,Caroline,Martinez,reedross@example.com,2021-02-09,950.967.1657x26284,2025-07-02 17:36:58,False
31,Brittany,Morris,mariahmiller@example.com,2022-08-06,001-779-696-5075x27354,2025-07-10 12:42:22,False
32,Nicole,Peters,christophercortez@example.com,2025-03-30,001-937-777-0143x63495,2025-07-02 05:52:59,False
33,Andrea,Bell,qnelson@example.org,2021-07-19,001-635-318-2337x4989,2025-06-21 00:17:55,True
34,Jeremy,White,ericksondavid@example.org,2020-12-26,+1-942-971-0947,2025-06-28 03:05:11,True
35,Tammy,King,ewilson@example.com,2024-09-14,390-822-9413,2025-07-11 00:32:47,False
36,Krystal,Perez,chayes@example.com,2024-03-03,399-409-1334x1232,2025-06-11 17:15:09,False
